Date,Open,High,Low,Close,Volume,Open Interest
2017-10-18,0.99935,0.99935,0.99935,0.99935,0,0
2017-10-19,1.00045,1.00045,1.00045,1.00045,0,0
2017-10-20,0.9953,0.9953,0.9953,0.9953,0,0
2017-10-23,0.99285,0.99285,0.99285,0.99285,0,0
2017-10-24,0.99505,0.99505,0.99505,0.99505,0,0
2017-10-25,0.9945,0.9945,0.9945,0.9945,0,0
2017-10-26,0.99295,0.99295,0.99295,0.99295,0,0
2017-10-27,0.99345,0.99345,0.99345,0.99345,0,0
2017-10-30,0.9962,0.9962,0.9962,0.9962,0,0
2017-10-31,0.99235,0.99235,0.99235,0.99235,0,0
2017-11-01,0.98745,0.98745,0.98745,0.98745,0,0
2017-11-02,0.9896,0.9896,0.9896,0.9896,0,0
2017-11-03,0.98805,0.98805,0.98805,0.98805,0,0
2017-11-06,0.99095,0.99095,0.99095,0.99095,0,0
2017-11-07,0.9896,0.9896,0.9896,0.9896,0,0
2017-11-08,0.9913,0.9913,0.9913,0.9913,0,0
2017-11-09,0.997,0.997,0.997,0.997,0,0
2017-11-10,0.9933,0.9933,0.9933,0.9933,0,0
2017-11-13,0.9959,0.9959,0.9959,0.9959,0,0
2017-11-14,0.99705,0.99705,0.99705,0.99705,0,0
2017-11-15,0.99985,0.99985,0.99985,0.99985,0,0
2017-11-16,0.99965,0.99965,0.99965,0.99965,0,0
2017-11-17,1.0067,1.0067,1.0067,1.0067,0,0
2017-11-20,1.00325,1.00325,1.00325,1.00325,0,0
2017-11-21,1.00625,1.00625,1.00625,1.00625,0,0
2017-11-22,1.01555,1.01555,1.01555,1.01555,0,0
2017-11-24,1.0117,1.0117,1.0117,1.0117,0,0
2017-11-27,1.01585,1.01585,1.01585,1.01585,0,0
2017-11-28,1.01105,1.01105,1.01105,1.01105,0,0
2017-11-29,1.009,1.009,1.009,1.009,0,0
2017-11-30,1.0034,1.0034,1.0034,1.0034,0,0
2017-12-01,1.0068,1.0068,1.0068,1.0068,0,0
2017-12-04,1.0038,1.0038,1.0038,1.0038,0,0
2017-12-05,1.00435,1.00435,1.00435,1.00435,0,0
2017-12-06,1.00535,1.00535,1.00535,1.00535,0,0
2017-12-07,0.9993,0.9993,0.9993,0.9993,0,0
2017-12-08,0.9956,0.9956,0.9956,0.9956,0,0
2017-12-11,0.99605,0.99605,0.99605,0.99605,0,0
2017-12-12,0.9961,0.9961,0.9961,0.9961,0,0
